FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,MaxLyapStimShort,MaxLyapStimLong,MaxLyapUserShort,MaxLyapUserLong
trial_log-200123-124141_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124141,11,-1,PreTest__,0,0.22,0.55,0.255,2.503,0.242507334905002,0.0606459310474166,0.457671678694721,0.168980506428029
trial_log-200123-124251_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124251,11,-1,PreTest__,0,0.783,0.932,-0.323,1.189,0.206181916794007,0.0280169336525937,0.346741151108347,0.141983359740482
trial_log-200123-124400_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124400,11,-1,PreTest__,0,0.493,0.913,-0.108,1.853,0.161984473730816,0.0543375161808974,0.424799024222414,0.151506050577888
trial_log-200123-124509_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124509,11,-1,PreTest__,0,0.574,0.927,-0.212,1.616,0.177819974239162,0.0404062183360489,0.386513952841357,0.0714994470724506
trial_log-200123-124616_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124616,11,-1,PreTest__,0,0.648,0.938,0.055,1.448,0.209444693966797,0.0525384436274352,0.350203438224723,0.0812422665625754
trial_log-200123-141253_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-141253,11,1,PostTest_,0,0.611,0.936,-0.051,1.533,0.237532201368193,0.0491859901795355,0.417647288416606,0.142765250878471
trial_log-200123-141400_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-141400,11,1,PostTest_,0,0.456,0.964,-0.165,2.114,0.190944081886419,0.0404640098525906,0.317157486293697,0.103141586686496
trial_log-200123-141506_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-141506,11,1,PostTest_,0,0.541,0.818,0.155,1.512,0.229449994872214,0.0252575883124814,0.421720149639752,0.12805518386078
trial_log-200124-113403_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113403,11,2,Retention,0,0.54,0.954,-0.128,1.768,0.207411155857926,0.0440449501338941,0.343052385758847,0.152971008644303
trial_log-200124-113513_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113513,11,2,Retention,0,0.948,0.956,0.154,1.009,0.17571562539341,0.0358176793265639,0.336928914389916,0.0554870183930223
trial_log-200124-113632_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113632,11,2,Retention,0,0.606,0.952,0.263,1.57,0.279229177314948,0.0555201250914972,0.334193655845302,0.0707220580853222
trial_log-200124-113739_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113739,11,2,Retention,0,0.565,0.928,0.159,1.642,0.192583293001142,0.0485862522790155,0.340147949614933,0.155682231908028
trial_log-200124-113848_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113848,11,2,Retention,0,0.528,0.947,0.195,1.792,0.245477674963094,0.0283906273527456,0.33253280216726,0.110114682708666
trial_log-200203-151332_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-151332,11,-1,PreTest__,0,0.521,0.911,0.085,1.747,0.230588286775378,0.0246446513907988,0.195784481948349,0.0826053719534284
trial_log-200203-151437_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-151437,11,-1,PreTest__,0,0.519,0.934,-0.102,1.801,0.230788045212611,0.045256927543383,0.192867407071076,0.0503414844361574
trial_log-200203-151554_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-151554,11,-1,PreTest__,0,0.526,0.954,-0.274,1.814,0.221688347621348,0.060972297772251,0.226543913623733,0.101321964804346
trial_log-200203-151700_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-151700,11,-1,PreTest__,0,0.771,0.945,-0.013,1.225,0.218807425838786,0.0546086768963142,0.179307410129561,0.082153800219257
trial_log-200203-151805_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-151805,11,-1,PreTest__,0,0.452,0.954,0.052,2.11,0.213214840084152,0.0242608985596109,0.203042239277814,0.0343449271577278
trial_log-200203-163310_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-163310,11,1,PostTest_,0,0.462,0.916,-0.068,1.982,0.184882821237241,0.0426604480874596,0.215963958117512,0.0891765573924591
trial_log-200203-163415_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-163415,11,1,PostTest_,0,0.504,0.927,0.222,1.839,0.172322619815975,0.042644838177779,0.264235776760506,0.087581117538618
trial_log-200203-163520_task011_aud1_vis0_eps000_pp4_d1_test_SCT,4,1,200203-163520,11,1,PostTest_,0,0.506,0.93,0.122,1.838,0.157253877473496,0.0151552165314881,0.265302393498105,0.0689300719287593
trial_log-200205-093157_task011_aud1_vis0_eps000_pp4_d2_test_SCT,4,2,200205-093157,11,2,Retention,0,0.64,0.953,-0.121,1.489,0.208445613200342,0.0300859245954003,0.286930611594567,0.0945357110203229
trial_log-200205-093300_task011_aud1_vis0_eps000_pp4_d2_test_SCT,4,2,200205-093300,11,2,Retention,0,0.877,0.941,-0.143,1.073,0.193725394355045,0.0473458275731606,0.276937643085736,0.0843646689720008
trial_log-200205-093406_task011_aud1_vis0_eps000_pp4_d2_test_SCT,4,2,200205-093406,11,2,Retention,0,0.53,0.941,0.087,1.775,0.221725780876511,0.0233842914625293,0.260400806411809,0.061458457102855
trial_log-200205-093513_task011_aud1_vis0_eps000_pp4_d2_test_SCT,4,2,200205-093513,11,2,Retention,0,0.553,0.959,0.285,1.735,0.18634875951728,0.031947936156258,0.311567766467124,0.0783466398636067
