"file_name","pp","day","date","task_code","training_phase","training_phase_label","visual","score","c","tau","pitch_error","max_lyap_stim_short","max_lyap_stim_long","max_lyap_user_short","max_lyap_user_long","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","pre_max_lyap_stim_short","pre_max_lyap_stim_long","pre_max_lyap_user_short","pre_max_lyap_user_long","score_delta","c_delta","tau_delta","pitch_error_delta","max_lyap_stim_short_delta","max_lyap_stim_long_delta","max_lyap_user_short_delta","max_lyap_user_long_delta"
"trial_log-200123-124141_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-124141","11",-1,"PreTest",0,0.22,0.55,0.255,2.503,0.242507334905002,0.0606459310474166,0.457671678694721,0.168980506428029,"25","Chaotic Interactive","Periodic Fixed",1,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,-0.595290654893304,-35.4460093896714,-482.882882882883,45.3711232431177,21.504161204519,28.5170697301177,16.4008521256331,37.335266502734
"trial_log-200123-124251_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-124251","11",-1,"PreTest",0,0.783,0.932,-0.323,1.189,0.206181916794007,0.0280169336525937,0.346741151108347,0.141983359740482,"25","Chaotic Interactive","Periodic Fixed",2,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,0.440397350993378,9.38967136150236,384.984984984985,-30.9443605529097,3.30393043744185,-40.6282638642441,-11.8124032250719,15.3939170919556
"trial_log-200123-124400_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-124400","11",-1,"PreTest",0,0.493,0.913,-0.108,1.853,0.161984473730816,0.0543375161808974,0.424799024222414,0.151506050577888,"25","Chaotic Interactive","Periodic Fixed",3,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,-0.0930831493745401,7.15962441314555,62.1621621621622,7.61993262864444,-18.8404440775854,15.1486709062448,8.04026271114077,23.1332789368398
"trial_log-200123-124509_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-124509","11",-1,"PreTest",0,0.574,0.927,-0.212,1.616,0.177819974239162,0.0404062183360489,0.386513952841357,0.0714994470724506,"25","Chaotic Interactive","Periodic Fixed",4,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,0.0559234731420162,8.80281690140846,218.318318318318,-6.14473225694041,-10.9063368173904,-14.3736654753598,-1.69688105347979,-41.8903645985027
"trial_log-200123-124616_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-124616","11",-1,"PreTest",0,0.648,0.938,0.055,1.448,0.209444693966797,0.0525384436274352,0.350203438224723,0.0812422665625754,"25","Chaotic Interactive","Periodic Fixed",5,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,0.19205298013245,10.093896713615,-182.582582582583,-15.901963061912,4.938689253015,11.3361887032415,-10.9318305582222,-33.9720979330267
"trial_log-200123-141253_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-141253","11",1,"PostTest",0,0.611,0.936,-0.051,1.533,0.237532201368193,0.0491859901795355,0.417647288416606,0.142765250878471,"25","Chaotic Interactive","Periodic Fixed",1,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,0.123988226637233,9.85915492957747,-23.4234234234234,-10.9652689046347,19.0114554580835,4.23187871756682,6.22134277196592,16.029382271234
"trial_log-200123-141400_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-141400","11",1,"PostTest",0,0.456,0.964,-0.165,2.114,0.190944081886419,0.0404640098525906,0.317157486293697,0.103141586686496,"25","Chaotic Interactive","Periodic Fixed",2,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,-0.161147902869757,13.1455399061033,147.747747747748,22.7784876292252,-4.33072667404178,-14.2511973025917,-19.3364951751034,-16.1738972469122
"trial_log-200123-141506_task011_aud1_vis0_eps000_pp1_d1_test_SCT","1",1,"200123-141506","11",1,"PostTest",0,0.541,0.818,0.155,1.512,0.229449994872214,0.0252575883124814,0.421720149639752,0.12805518386078,"25","Chaotic Interactive","Periodic Fixed",3,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,-0.00478292862398811,-3.9906103286385,-332.732732732733,-12.1849227552561,14.962003834856,-46.4756961875672,7.25720437108373,4.07409217978135
"trial_log-200124-113403_task011_aud1_vis0_eps000_pp1_d2_test_SCT","1",2,"200124-113403","11",2,"Retention",0,0.54,0.954,-0.128,1.768,0.207411155857926,0.0440449501338941,0.343052385758847,0.152971008644303,"25","Chaotic Interactive","Periodic Fixed",1,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,-0.00662251655629127,11.9718309859155,92.1921921921922,2.68323847136717,3.91981969060533,-6.66269228859748,-12.7505767017394,24.3238920478978
"trial_log-200124-113513_task011_aud1_vis0_eps000_pp1_d2_test_SCT","1",2,"200124-113513","11",2,"Retention",0,0.948,0.956,0.154,1.009,0.17571562539341,0.0358176793265639,0.336928914389916,0.0554870183930223,"25","Chaotic Interactive","Periodic Fixed",2,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,0.7439293598234,12.2065727699531,-331.231231231231,-41.3985364153793,-11.960684890965,-24.0974107894565,-14.3079754189669,-54.904121075685
"trial_log-200124-113632_task011_aud1_vis0_eps000_pp1_d2_test_SCT","1",2,"200124-113632","11",2,"Retention",0,0.606,0.952,0.263,1.57,0.279229177314948,0.0555201250914972,0.334193655845302,0.0707220580853222,"25","Chaotic Interactive","Periodic Fixed",3,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,0.114790286975717,11.7370892018779,-494.894894894895,-8.81635497734928,39.9030136006862,17.6547818555215,-15.0036409805438,-42.5221707516524
"trial_log-200124-113739_task011_aud1_vis0_eps000_pp1_d2_test_SCT","1",2,"200124-113739","11",2,"Retention",0,0.565,0.928,0.159,1.642,0.192583293001142,0.0485862522790155,0.340147949614933,0.155682231908028,"25","Chaotic Interactive","Periodic Fixed",4,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,0.0393671817512877,8.92018779342724,-338.738738738739,-4.63468463236149,-3.50942792194604,2.96095161248766,-13.4892696509302,26.5273803516252
"trial_log-200124-113848_task011_aud1_vis0_eps000_pp1_d2_test_SCT","1",2,"200124-113848","11",2,"Retention",0,0.528,0.947,0.195,1.792,0.245477674963094,0.0283906273527456,0.33253280216726,0.110114682708666,"25","Chaotic Interactive","Periodic Fixed",5,0.5436,0.852,-0.0666,1.7218,0.199587678727157,0.0471890085688784,0.393185849018312,0.123042326076285,-0.0286975717439293,11.150234741784,-392.792792792793,4.07712858636311,22.9923993948897,-39.836355512098,-15.4260503022904,-10.5066636659681
"trial_log-200203-151332_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151332","11",-1,"PreTest",0,0.521,0.911,0.085,1.747,0.230588286775378,0.0246446513907988,0.195784481948349,0.0826053719534284,"25","Chaotic Interactive","Periodic Fixed",1,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.0659734671925422,-3.04384844614729,-268.650793650794,0.436932275497301,3.39475665967424,-41.2504868764106,-1.86688659353886,17.7494501557741
"trial_log-200203-151437_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151437","11",-1,"PreTest",0,0.519,0.934,-0.102,1.801,0.230788045212611,0.045256927543383,0.192867407071076,0.0503414844361574,"25","Chaotic Interactive","Periodic Fixed",2,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.069558981713876,-0.595998297147716,102.380952380952,3.54145107508335,3.48432744966213,7.88638948392673,-3.32901289128134,-28.2409609422869
"trial_log-200203-151554_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151554","11",-1,"PreTest",0,0.526,0.954,-0.274,1.814,0.221688347621348,0.060972297772251,0.226543913623733,0.101321964804346,"25","Chaotic Interactive","Periodic Fixed",3,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.0570096808892077,1.53256704980843,443.650793650794,4.28883523053927,-0.595936258796654,45.3497049458632,13.5506723819221,44.4289319481633
"trial_log-200203-151700_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151700","11",-1,"PreTest",0,0.771,0.945,-0.013,1.225,0.218807425838786,0.0546086768963142,0.179307410129561,0.082153800219257,"25","Chaotic Interactive","Periodic Fixed",4,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,0.382215847974184,0.574712643678157,-74.2063492063492,-29.5734161205013,-1.88772870337003,30.1796941294806,-10.1256941420661,17.1057592898271
"trial_log-200203-151805_task011_aud1_vis0_eps000_pp4_d1_test_SCT","4",1,"200203-151805","11",-1,"PreTest",0,0.452,0.954,0.052,2.11,0.213214840084152,0.0242608985596109,0.203042239277814,0.0343449271577278,"25","Chaotic Interactive","Periodic Fixed",5,0.5578,0.9396,-0.0504,1.7394,0.223017389106455,0.0419486904324716,0.199509090410107,0.0701535097141833,-0.189673718178559,1.53256704980843,-203.174603174603,21.3061975393814,-4.39541914716966,-42.16530168286,1.7709212449642,-51.0431804514777
