"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","max_lyap_stim_short_PreTest","max_lyap_stim_short_PostTest","max_lyap_stim_short_Retention","max_lyap_stim_long_PreTest","max_lyap_stim_long_PostTest","max_lyap_stim_long_Retention","max_lyap_user_short_PreTest","max_lyap_user_short_PostTest","max_lyap_user_short_Retention","max_lyap_user_long_PreTest","max_lyap_user_long_PostTest","max_lyap_user_long_Retention"
"1","Chaotic","Chaotic Interactive",0.4352,0.664666666666667,0.4712,0.5144,0.637,0.5632,1.1908,0.960666666666667,1.1986,1.87285126180269,1.88782847607805,1.86161835109618,0.428407048614952,0.43765577799367,0.421470501580913,0.373034632661431,0.515069872332556,0.556494147958842,0.0183114722546615,0.0901767827851638,0.0717196497762011
"1","Chaotic Visual","Chaotic Interactive",1.6446,1.40933333333333,1.476,0.5976,0.591666666666667,0.6378,0.3668,0.427333333333333,0.433,1.68358363513838,1.66802686717731,1.64858090722596,0.349633061041654,0.34573267017766,0.340857181597667,0.618930206452796,0.656326198995135,0.614802599595999,0.0527581807911685,0.0560465680969381,0.0688708000946347
"1","Periodic Fadeout (SCT)","Chaotic Interactive",0.6042,0.598333333333333,0.6454,0.9592,0.952333333333333,0.9478,1.5912,1.60766666666667,1.518,0.347346239453047,0.375002851566661,0.401163399378471,0.0739170861954226,0.0363104949961901,0.0581154028724874,0.39689082911476,0.558809491798494,0.387562101791191,0.137688608500777,0.185486128657185,0.130449914273682
"1","Periodic Fixed","Chaotic Interactive",0.5436,0.536,0.6374,0.852,0.906,0.9474,1.7218,1.71966666666667,1.5562,0.199587678727157,0.219308759375609,0.220083385306104,0.0471890085688784,0.0383025294482025,0.0424719268367433,0.393185849018312,0.385508308116685,0.337371141555252,0.123042326076285,0.124654007141916,0.108995399947868
"4","Chaotic","Chaotic Interactive",0.3134,0.431,0.2914,0.511,0.564,0.5128,1.6362,1.31266666666667,1.7652,1.86161835109618,1.85038544038966,1.83793424069761,0.421470501580913,0.414533954546875,0.405849227318422,0.511195361049615,0.504847184853118,0.484634879173433,0.0435907280877936,0.0597994885364128,0.0314138329384473
"4","Chaotic Visual","Chaotic Interactive",1.7835,1.737,1.6114,0.6035,0.578666666666667,0.5724,0.33925,0.332666666666667,0.3558,1.64858090722596,1.66802686717731,1.67191605916758,0.340857181597667,0.34573267017766,0.346707767893658,0.424211038385999,0.587807286621093,0.499550818942234,0.0269976601975102,0.0504745658127958,0.0572843766287014
"4","Periodic Fadeout (SCT)","Chaotic Interactive",0.3978,0.560333333333333,0.708,0.937,0.939333333333333,0.946,2.3724,1.735,1.3692,0.356210701513809,0.36208278141644,0.376843207189489,0.0608552145149731,0.072673316004897,0.0744710991058989,0.3435474047884,0.427106005204504,0.393979969380279,0.0943297821147531,0.123622882118578,0.0867909286651692
"4","Periodic Fixed","Chaotic Interactive",0.5578,0.490666666666667,0.634,0.9396,0.924333333333333,0.9478,1.7394,1.88633333333333,1.5456,0.223017389106455,0.171486439508904,0.204999588011934,0.0419486904324716,0.0334868342655756,0.0317535316258435,0.199509090410107,0.248500709458708,0.283452380673821,0.0701535097141833,0.0818959156199455,0.0825607160356708
"5","Chaotic","Chaotic Non-interactive",0.2594,0.269666666666667,0.3354,0.4396,0.457,0.477,1.7,1.72233333333333,1.4264,1.88408417250921,1.86910695823385,1.83793424069761,0.43534359564899,0.426094866270272,0.405849227318422,0.322053408278573,0.436144953763244,0.404345731534166,0.0177412988108216,0.0345518197726284,0.0254330784143972
"5","Chaotic Visual","Chaotic Non-interactive",1.523,1.57833333333333,1.566,0.6276,0.578,0.5664,0.4138,0.368333333333333,0.3634,1.66024848319677,1.64858090722596,1.66024848319677,0.343782474745663,0.340857181597667,0.343782474745663,0.476579918756309,0.438790124301848,0.397727392709921,0.0162972476393569,0.0284293237961994,0.0293195858850826
"5","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3818,0.301,0.5468,0.858,0.898333333333333,0.9252,2.2688,2.988,1.7028,0.332393575874653,0.382115147510976,0.369272792444257,0.0682187934535605,0.0702324737436389,0.0657267853312052,0.462230363818791,0.524357193020675,0.445184154027475,0.129575331535998,0.205318133483075,0.104627914317409
"5","Periodic Fixed","Chaotic Non-interactive",0.372,0.517666666666667,0.429,0.7986,0.864333333333333,0.7364,2.1488,1.739,1.7344,0.190565905929343,0.180244132738919,0.186689777038413,0.0346420522826315,0.0422425283026458,0.029756844193073,0.37377188917243,0.3378180765474,0.498169119403631,0.120841287108477,0.120834593934557,0.156087219851627
"6","Chaotic","Chaotic Interactive",0.2224,0.369333333333333,0.3416,0.4598,0.482,0.4896,2.0966,1.30533333333333,1.461,1.89531708321572,1.85038544038966,1.87285126180269,0.442280142683029,0.414533954546875,0.428407048614952,0.544901431236337,0.501838401884968,0.503904899173817,0.0458624406480854,0.0484760729962638,0.0389450498536681
"6","Chaotic Visual","Chaotic Interactive",1.3314,1.22033333333333,1.6682,0.5842,0.536333333333333,0.668,0.4418,0.440666666666667,0.4002,1.67191605916758,1.64858090722596,1.68358363513838,0.346707767893658,0.340857181597667,0.349633061041654,0.559847174746268,0.683541581660299,0.522331762593212,0.00387506578862371,0.0384680163897946,0.0325340333906219
"6","Periodic Fadeout (SCT)","Chaotic Interactive",0.3016,0.275333333333333,0.3978,0.7466,0.764666666666667,0.8712,2.6772,2.788,2.2214,0.369721729413014,0.409676881324303,0.386440402194077,0.0714757962866165,0.0766954966312096,0.042608965939916,0.610635709710323,0.634221580252689,0.520538356982925,0.128098336763372,0.0961873385919021,0.148237122349091
"6","Periodic Fixed","Chaotic Interactive",0.4058,0.611333333333333,0.351,0.8674,0.793,0.813,2.19,1.45733333333333,2.3432,0.227596990752696,0.218127401295103,0.228078675479746,0.0470027401041932,0.0348507494336613,0.0322640203859757,0.438507114305486,0.486443292897492,0.445690617049778,0.1486171101348,0.084050642148273,0.135566210147171
"7","Chaotic","Chaotic Non-interactive",0.2652,0.257,0.2428,0.4824,0.523,0.5096,1.8252,2.03666666666667,2.1204,1.87285126180269,1.86910695823385,1.87285126180269,0.428407048614952,0.426094866270272,0.428407048614952,0.334788926764097,0.437726022294632,0.401673220320967,0.0530365136391089,0.0622997361089982,0.0841340314265703
"7","Chaotic Visual","Chaotic Non-interactive",1.4642,1.68433333333333,1.7068,0.5796,0.659666666666667,0.674,0.396,0.391666666666667,0.395,1.67191605916758,1.70691878708,1.67191605916758,0.346707767893658,0.355483647337645,0.346707767893658,0.448184405828587,0.530744984097268,0.456444687808601,0.0374663678120889,0.0436014854926822,0.0134602655398897
"7","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3028,0.400666666666667,0.3996,0.8942,0.927666666666667,0.9292,3.0258,2.42333333333333,2.341,0.414213656547216,0.363860346516346,0.354110511186465,0.0765979939237907,0.0655168684005184,0.0573924561948744,0.446436420441022,0.460587941251322,0.494265077222026,0.140680728812842,0.161010552716791,0.17409877025715
"7","Periodic Fixed","Chaotic Non-interactive",0.326,0.257666666666667,0.2096,0.854,0.773333333333333,0.7234,2.6574,3.00966666666667,3.4972,0.22426225365397,0.215972678366408,0.226528570299758,0.0455907410680619,0.0307113736301906,0.0439242422936686,0.335522934495247,0.374933051121817,0.381562987275921,0.124188825956021,0.135917031527345,0.161128937638103
