"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","MLS Stimulus Delta% PostTest","MLS Stimulus Delta% Retention","MLL Stimulus Delta% PostTest","MLL Stimulus Delta% Retention","MLS User Delta% PostTest","MLS User Delta% Retention","MLL User Delta% PostTest","MLL User Delta% Retention","MLS Stimulus Training","MLL Stimulus Training","MLS User Training","MLL User Training"
"1","Chaotic","Chaotic Interactive",23.8335925349922,9.48678071539659,-19.3259433434106,0.655021834061138,52.7267156862745,8.27205882352942,0.79970121390945,-0.599775910432097,2.15886489464148,-1.61914867098111,38.0756174454282,49.1802903093772,392.460581711052,291.665119979327,1.75074719580758,0.280210868595412,0.480460332620502,0.0983110704192054
"1","Chaotic Visual","Chaotic Interactive",-0.99286033020973,6.72690763052209,16.5030897855325,18.0479825517993,-14.3054035429081,-10.251732944181,-0.92402703592439,-2.07906083082987,-1.11556694677951,-2.5100256302539,6.04203707501418,-0.666893748885248,6.23294294165665,30.540513455618,1.75074719580758,0.280210868595412,0.480460332620502,0.0983110704192054
"1","Periodic Fadeout (SCT)","Chaotic Interactive",-0.715874339727553,-1.18849040867389,1.03485838779956,-4.60030165912518,-0.970980911397977,6.81893412777226,7.96226041115745,15.4938081408821,-50.8767230080037,-21.3775787659684,40.7967760416344,-2.35045172103779,34.7142154146607,-5.25729347250512,1.75074719580758,0.280210868595412,0.480460332620502,0.0983110704192054
"1","Periodic Fixed","Chaotic Interactive",6.33802816901409,11.1971830985916,-0.123901343555193,-9.61784179347194,-1.39808682855039,17.2553348050037,9.8809108729659,10.269023974654,-18.831671590864,-9.99614502442856,-1.95264934401792,-14.1955026108941,1.3098590680344,-11.4163366187565,1.75074719580758,0.280210868595412,0.480460332620502,0.0983110704192054
"4","Chaotic","Chaotic Interactive",10.371819960861,0.352250489236795,-19.7734588273642,7.88412174550787,37.5239310784939,-7.01978302488833,-0.603394927854123,-1.27223232326959,-1.64579656417704,-3.70637427860233,-1.24182977393659,-5.1957595666844,37.1839635620998,-27.9345991303964,1.72410263992542,0.271761681770917,0.462383686197669,0.0600879276931278
"4","Chaotic Visual","Chaotic Interactive",-4.11488539077603,-5.15327257663629,-1.94055514615573,4.87840825350037,-2.60723296888141,-9.64956546117186,1.17955751313825,1.41546901576591,1.43036111404203,1.71643333685045,38.5648258606214,17.7599764595662,86.9590380926812,112.182745503198,1.72410263992542,0.271761681770917,0.462383686197669,0.0600879276931278
"4","Periodic Fadeout (SCT)","Chaotic Interactive",0.249021700462465,0.960512273212369,-26.8673073680661,-42.2862923621649,40.8580526227585,77.9788838612368,1.64848497747993,5.79221948919469,19.4200309441291,22.3742282390208,24.3222912621242,14.6799434048824,31.0539252260645,-7.99201830066005,1.72410263992542,0.271761681770917,0.462383686197669,0.0600879276931278
"4","Periodic Fixed","Chaotic Interactive",-1.62480488150986,0.872711792252021,8.44735732628109,-11.1417730251811,-12.0353770766105,13.6608103262818,-23.1062473666362,-8.07910143989731,-20.1719197420901,-24.3038786229575,24.5560836089699,42.0749200405667,16.7381588656114,17.6857955817697,1.72410263992542,0.271761681770917,0.462383686197669,0.0600879276931278
"5","Chaotic","Chaotic Non-interactive",3.95814376706097,8.50773430391265,1.31372549019608,-16.0941176470588,3.95785145206887,29.2983808789514,-0.794933394902843,-2.44946231622623,-2.12446662157284,-6.7749631843324,35.4262810303758,25.5523839028623,94.7536093104579,43.355222667711,1.50994241370735,0.737066767836839,0.798364549654947,0.152129415123975
"5","Chaotic Visual","Chaotic Non-interactive",-7.90312300828555,-9.75143403441683,-10.9875946512003,-12.1797970033833,3.63318012694243,2.82337491792514,-0.702760827002377,0,-0.850913982790951,0,-7.92937196201577,-16.5454990743552,74.442485168749,79.9051381797595,1.50994241370735,0.737066767836839,0.798364549654947,0.152129415123975
