"file_name","pp","day","date","task_code","training_phase","visual","trial_duration","samples_num","score","c","tau","pitch_error","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","score_delta","c_delta","tau_delta","pitch_error_delta"
"trial_log-200123-124141_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-124141","11","PreTest",0,59.999,5829,0.22,0.55,0.255,2.503,"25","Chaotic Interactive","Periodic Fixed",1,0.5436,0.852,-0.0666,1.7218,-0.595290654893304,-35.4460093896714,-482.882882882883,45.3711232431177
"trial_log-200123-124251_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-124251","11","PreTest",0,59.999,5698,0.783,0.932,-0.323,1.189,"25","Chaotic Interactive","Periodic Fixed",2,0.5436,0.852,-0.0666,1.7218,0.440397350993378,9.38967136150236,384.984984984985,-30.9443605529097
"trial_log-200123-124400_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-124400","11","PreTest",0,59.99,5748,0.493,0.913,-0.108,1.853,"25","Chaotic Interactive","Periodic Fixed",3,0.5436,0.852,-0.0666,1.7218,-0.0930831493745401,7.15962441314555,62.1621621621622,7.61993262864444
"trial_log-200123-124509_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-124509","11","PreTest",0,59.997,5751,0.574,0.927,-0.212,1.616,"25","Chaotic Interactive","Periodic Fixed",4,0.5436,0.852,-0.0666,1.7218,0.0559234731420162,8.80281690140846,218.318318318318,-6.14473225694041
"trial_log-200123-124616_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-124616","11","PreTest",0,59.995,5778,0.648,0.938,0.055,1.448,"25","Chaotic Interactive","Periodic Fixed",5,0.5436,0.852,-0.0666,1.7218,0.19205298013245,10.093896713615,-182.582582582583,-15.901963061912
"trial_log-200123-124756_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-124756","12","PreTest",0,59.993,5841,0.59,0.955,-0.125,1.62,"25","Chaotic Interactive","Periodic Fadeout (SCT)",1,0.6042,0.9592,-0.0436,1.5912,-0.0235021516054287,-0.43786488740617,186.697247706422,1.80995475113123
"trial_log-200123-124918_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-124918","12","PreTest",0,59.991,5875,0.647,0.955,-0.208,1.476,"25","Chaotic Interactive","Periodic Fadeout (SCT)",2,0.6042,0.9592,-0.0436,1.5912,0.0708374710360809,-0.43786488740617,377.064220183486,-7.23981900452488
"trial_log-200123-125044_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-125044","12","PreTest",0,59.994,5918,0.604,0.961,0.036,1.592,"25","Chaotic Interactive","Periodic Fadeout (SCT)",3,0.6042,0.9592,-0.0436,1.5912,-0.000331016219794734,0.187656380316933,-182.56880733945,0.0502765208647646
"trial_log-200123-125151_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-125151","12","PreTest",0,59.991,5923,0.612,0.966,-0.053,1.579,"25","Chaotic Interactive","Periodic Fadeout (SCT)",4,0.6042,0.9592,-0.0436,1.5912,0.0129096325719961,0.708924103419519,21.5596330275229,-0.766716943187531
"trial_log-200123-125258_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-125258","12","PreTest",0,59.99,5882,0.568,0.959,0.132,1.689,"25","Chaotic Interactive","Periodic Fadeout (SCT)",5,0.6042,0.9592,-0.0436,1.5912,-0.0599139357828534,-0.0208507089241011,-402.752293577982,6.14630467571645
"trial_log-200123-125430_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt","1",1,"200123-125430","20","PreTest",0,59.997,5419,0.483,0.553,0.11,1.146,"25","Chaotic Interactive","Chaotic",1,0.4352,0.5144,0.1792,1.1908,0.109834558823529,7.50388802488338,-38.6160714285714,-3.76217668794089
"trial_log-200123-125548_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt","1",1,"200123-125548","20","PreTest",0,59.993,5215,0.459,0.506,0.137,1.102,"25","Chaotic Interactive","Chaotic",2,0.4352,0.5144,0.1792,1.1908,0.0546875000000001,-1.63297045101088,-23.5491071428571,-7.45717164931139
"trial_log-200123-125700_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt","1",1,"200123-125700","20","PreTest",0,59.981,5050,0.482,0.547,0.325,1.135,"25","Chaotic Interactive","Chaotic",3,0.4352,0.5144,0.1792,1.1908,0.107536764705882,6.3374805598756,81.3616071428572,-4.68592542828351
"trial_log-200123-125809_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt","1",1,"200123-125809","20","PreTest",0,59.991,5166,0.371,0.496,0.035,1.336,"25","Chaotic Interactive","Chaotic",4,0.4352,0.5144,0.1792,1.1908,-0.147518382352941,-3.57698289269051,-80.46875,12.1934833725227
"trial_log-200123-125920_task020_aud1_vis0_eps000_pp1_d1_test_chaotic.txt","1",1,"200123-125920","20","PreTest",0,59.985,5211,0.381,0.47,0.289,1.235,"25","Chaotic Interactive","Chaotic",5,0.4352,0.5144,0.1792,1.1908,-0.124540441176471,-8.63141524105754,61.2723214285714,3.7117903930131
"trial_log-200123-130111_task020_aud0_vis1_eps000_pp1_d1_test_visual.txt","1",1,"200123-130111","20.5","PreTest",1,59.993,5417,1.738,0.639,-0.144,0.368,"25","Chaotic Interactive","Chaotic Visual",1,1.6446,0.5976,-0.1014,0.3668,0.0567919250881673,6.92771084337349,42.0118343195266,0.32715376226826
