"pp","task_label","Training","score_PostTest","score_PreTest","score_Retention","c_PostTest","c_PreTest","c_Retention","pitch_error_PostTest","pitch_error_PreTest","pitch_error_Retention"
1,"Chaotic","Chaotic Interactive",0.664666666666667,0.4352,0.4712,0.637,0.5144,0.5632,0.960666666666667,1.1908,1.1986
1,"Chaotic Visual","Chaotic Interactive",1.40933333333333,1.6446,1.476,0.591666666666667,0.5976,0.6378,0.427333333333333,0.3668,0.433
1,"Periodic Fadeout (SCT)","Chaotic Interactive",0.598333333333333,0.6042,0.6454,0.952333333333333,0.9592,0.9478,1.60766666666667,1.5912,1.518
1,"Periodic Fixed","Chaotic Interactive",0.536,0.5436,0.6374,0.906,0.852,0.9474,1.71966666666667,1.7218,1.5562
4,"Chaotic","Chaotic Interactive",0.431,0.3134,0.2914,0.564,0.511,0.5128,1.31266666666667,1.6362,1.7652
4,"Chaotic Visual","Chaotic Interactive",1.737,1.7835,1.6114,0.578666666666667,0.6035,0.5724,0.332666666666667,0.33925,0.3558
4,"Periodic Fadeout (SCT)","Chaotic Interactive",0.560333333333333,0.3978,0.708,0.939333333333333,0.937,0.946,1.735,2.3724,1.3692
4,"Periodic Fixed","Chaotic Interactive",0.490666666666667,0.5578,0.634,0.924333333333333,0.9396,0.9478,1.88633333333333,1.7394,1.5456
5,"Chaotic","Chaotic Non-interactive",0.269666666666667,0.2594,0.3354,0.457,0.4396,0.477,1.72233333333333,1.7,1.4264
5,"Chaotic Visual","Chaotic Non-interactive",1.57833333333333,1.523,1.566,0.578,0.6276,0.5664,0.368333333333333,0.4138,0.3634
5,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.301,0.3818,0.5468,0.898333333333333,0.858,0.9252,2.988,2.2688,1.7028
5,"Periodic Fixed","Chaotic Non-interactive",0.517666666666667,0.372,0.429,0.864333333333333,0.7986,0.7364,1.739,2.1488,1.7344
6,"Chaotic","Chaotic Interactive",0.369333333333333,0.2224,0.3416,0.482,0.4598,0.4896,1.30533333333333,2.0966,1.461
6,"Chaotic Visual","Chaotic Interactive",1.22033333333333,1.3314,1.6682,0.536333333333333,0.5842,0.668,0.440666666666667,0.4418,0.4002
6,"Periodic Fadeout (SCT)","Chaotic Interactive",0.275333333333333,0.3016,0.3978,0.764666666666667,0.7466,0.8712,2.788,2.6772,2.2214
6,"Periodic Fixed","Chaotic Interactive",0.611333333333333,0.4058,0.351,0.793,0.8674,0.813,1.45733333333333,2.19,2.3432
7,"Chaotic","Chaotic Non-interactive",0.257,0.2652,0.2428,0.523,0.4824,0.5096,2.03666666666667,1.8252,2.1204
7,"Chaotic Visual","Chaotic Non-interactive",1.68433333333333,1.4642,1.7068,0.659666666666667,0.5796,0.674,0.391666666666667,0.396,0.395
7,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.400666666666667,0.3028,0.3996,0.927666666666667,0.8942,0.9292,2.42333333333333,3.0258,2.341
7,"Periodic Fixed","Chaotic Non-interactive",0.257666666666667,0.326,0.2096,0.773333333333333,0.854,0.7234,3.00966666666667,2.6574,3.4972
8,"Chaotic","Chaotic Non-interactive",0.413333333333333,0.4138,0.3638,0.558666666666667,0.592,0.5522,1.415,1.4398,1.5272
8,"Chaotic Visual","Chaotic Non-interactive",1.81266666666667,1.7446,1.7414,0.696666666666667,0.6624,0.643,0.385,0.3792,0.37
8,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.381,0.3832,0.594,0.909333333333333,0.8922,0.9468,2.39066666666667,2.3914,1.6484
8,"Periodic Fixed","Chaotic Non-interactive",0.467666666666667,0.4124,0.3372,0.875333333333333,0.8832,0.8914,1.93766666666667,2.221,2.6846
9,"Chaotic","Chaotic Non-interactive",0.509,0.3752,0.571,0.572,0.4682,0.6964,1.12833333333333,1.2644,1.2228
9,"Chaotic Visual","Chaotic Non-interactive",1.951,1.879,1.8606,0.763666666666667,0.7392,0.7874,0.391333333333333,0.3944,0.4236
9,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.411666666666667,0.3544,0.3644,0.903666666666667,0.9034,0.8962,2.19666666666667,2.554,2.4796
9,"Periodic Fixed","Chaotic Non-interactive",0.307666666666667,0.3522,0.4098,0.702666666666667,0.7552,0.8936,2.35133333333333,2.3358,2.4626
