"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention"
1,"Chaotic","Chaotic Interactive",23.8335925349922,9.48678071539659,-19.3259433434106,0.655021834061138,52.7267156862745,8.27205882352942
1,"Chaotic Visual","Chaotic Interactive",-0.99286033020973,6.72690763052209,16.5030897855325,18.0479825517993,-14.3054035429081,-10.251732944181
1,"Periodic Fadeout (SCT)","Chaotic Interactive",-0.715874339727553,-1.18849040867389,1.03485838779956,-4.60030165912518,-0.970980911397977,6.81893412777226
1,"Periodic Fixed","Chaotic Interactive",6.33802816901409,11.1971830985916,-0.123901343555193,-9.61784179347194,-1.39808682855039,17.2553348050037
4,"Chaotic","Chaotic Interactive",10.371819960861,0.352250489236795,-19.7734588273642,7.88412174550787,37.5239310784939,-7.01978302488833
4,"Chaotic Visual","Chaotic Interactive",-4.11488539077603,-5.15327257663629,-1.94055514615573,4.87840825350037,-2.60723296888141,-9.64956546117186
4,"Periodic Fadeout (SCT)","Chaotic Interactive",0.249021700462465,0.960512273212369,-26.8673073680661,-42.2862923621649,40.8580526227585,77.9788838612368
4,"Periodic Fixed","Chaotic Interactive",-1.62480488150986,0.872711792252021,8.44735732628109,-11.1417730251811,-12.0353770766105,13.6608103262818
5,"Chaotic","Chaotic Non-interactive",3.95814376706097,8.50773430391265,1.31372549019608,-16.0941176470588,3.95785145206887,29.2983808789514
5,"Chaotic Visual","Chaotic Non-interactive",-7.90312300828555,-9.75143403441683,-10.9875946512003,-12.1797970033833,3.63318012694243,2.82337491792514
5,"Periodic Fadeout (SCT)","Chaotic Non-interactive",4.7008547008547,7.83216783216784,31.6995768688293,-24.9471086036671,-21.1629125196438,43.2163436354112
5,"Periodic Fixed","Chaotic Non-interactive",8.23107104098841,-7.78863010267968,-19.0711094564408,-19.2851824274013,39.15770609319,15.3225806451613
6,"Chaotic","Chaotic Interactive",4.8281861678991,6.48107872988257,-37.740468695348,-30.3157493084041,66.0671462829736,53.5971223021583
6,"Chaotic Visual","Chaotic Interactive",-8.19354102476322,14.3444026018487,-0.256526331673467,-9.41602535083749,-8.34209603925692,25.2966801862701
6,"Periodic Fadeout (SCT)","Chaotic Interactive",2.41985891597466,16.6889900884008,4.13865232332288,-17.0252502614672,-8.70910698496907,31.8965517241379
6,"Periodic Fixed","Chaotic Interactive",-8.577357620475,-6.27161632464837,-33.455098934551,6.99543378995434,50.6489239362576,-13.504189255791
7,"Chaotic","Chaotic Non-interactive",8.4162520729685,5.63847429519073,11.5859449192783,16.1735700197239,-3.0920060331825,-8.44645550527904
7,"Chaotic Visual","Chaotic Non-interactive",13.8141246836899,16.2870945479641,-1.0942760942761,-0.252525252525253,15.0343759959933,16.5687747575468
7,"Periodic Fadeout (SCT)","Chaotic Non-interactive",3.74263773950645,3.91411317378663,-19.9109877277635,-22.6320311983608,32.3205636283575,31.9682959048877
7,"Periodic Fixed","Chaotic Non-interactive",-9.44574551131928,-15.2927400468384,13.2560648252678,31.602318055242,-20.961145194274,-35.7055214723926
8,"Chaotic","Chaotic Non-interactive",-5.63063063063063,-6.72297297297296,-1.72246145297958,6.07028753993611,-0.112775898179476,-12.0831319478009
8,"Chaotic Visual","Chaotic Non-interactive",5.1731078904992,-2.92874396135265,1.52953586497891,-2.42616033755274,3.90156291795636,-0.183423134242799
8,"Periodic Fadeout (SCT)","Chaotic Non-interactive",1.9203467085108,6.11970410221923,-0.0306654400490613,-31.0696663042569,-0.574112734864295,55.0104384133612
8,"Periodic Fixed","Chaotic Non-interactive",-0.89070048309179,0.928442028985506,-12.7570163589975,20.8734804142278,13.401228580666,-18.2347235693501
9,"Chaotic","Chaotic Non-interactive",22.1700128150363,48.7398547629218,-10.761362438047,-3.29009807023093,35.6609808102345,52.1855010660981
9,"Chaotic Visual","Chaotic Non-interactive",3.30988455988456,6.52056277056276,-0.777552400270452,7.40365111561865,3.83182543906332,-0.979244278871739
9,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.0295181167441608,-0.796989152092095,-13.9911250326285,-2.91307752545027,16.1587659894658,2.82167042889391
9,"Periodic Fixed","Chaotic Non-interactive",-6.95621468926554,18.3262711864407,0.665011273796275,5.42854696463739,-12.6443308726103,16.3543441226576
10,"Chaotic","Chaotic Interactive",12.3174101855507,6.6719305171733,-10.6207334497539,1.71455786632799,28.6115238566947,5.34918276374443
10,"Chaotic Visual","Chaotic Interactive",7.60089422284975,7.62442640310625,-8.90151515151515,-7.89772727272727,17.7484911934967,16.0610912673975
10,"Periodic Fadeout (SCT)","Chaotic Interactive",2.08025862674818,1.72886358844613,-39.6052312068547,-38.7293162660006,58.450259132853,56.9017823284035
