raw data file,score,cmax,tau,rmse
trial_log-200123-131008_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.441,   0.509,  -0.092,   1.156
trial_log-200123-131128_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.541,   0.652,   0.027,   1.206
trial_log-200123-131242_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.404,   0.542,  -0.032,   1.343
trial_log-200123-131358_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.426,   0.541,  -0.038,   1.268
trial_log-200123-131511_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.312,   0.477,  -0.128,   1.530
trial_log-200123-131634_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.353,   0.532,  -0.088,   1.509
trial_log-200123-131749_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.401,   0.538,  -0.091,   1.341
trial_log-200123-131900_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.266,   0.438,  -0.175,   1.647
trial_log-200123-132015_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.332,   0.537,  -0.193,   1.619
trial_log-200123-132124_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.337,   0.507,  -0.148,   1.503
trial_log-200123-132545_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.521,   0.553,  -0.126,   1.062
trial_log-200123-132702_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.524,   0.561,   0.049,   1.070
trial_log-200123-132815_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.379,   0.450,   0.047,   1.188
trial_log-200123-132929_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.464,   0.555,  -0.064,   1.195
trial_log-200123-133039_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.372,   0.550,  -0.131,   1.480
trial_log-200123-133150_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.324,   0.524,  -0.213,   1.617
trial_log-200123-133300_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.433,   0.568,  -0.076,   1.313
trial_log-200123-133410_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.320,   0.518,  -0.228,   1.617
trial_log-200123-133521_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.429,   0.551,  -0.180,   1.285
trial_log-200123-133632_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.388,   0.499,  -0.130,   1.285
trial_log-200123-134111_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.468,   0.613,  -0.195,   1.309
trial_log-200123-134225_task025_aud1_vis0_eps070_pp1_d1_.txt,   0.527,   0.555,  -0.168,   1.052
