FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,TE12rescaled,TE21rescaled
trial_log-200123-124141_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124141,11,-1,PreTest__,0,0.22,0.55,0.255,2.503,0.331311891259645,-0.519503362732401
trial_log-200123-124251_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124251,11,-1,PreTest__,0,0.783,0.932,-0.323,1.189,0.883046083906798,-0.256355442013878
trial_log-200123-124400_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124400,11,-1,PreTest__,0,0.493,0.913,-0.108,1.853,-0.83602478195476,-0.497418707671276
trial_log-200123-124509_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124509,11,-1,PreTest__,0,0.574,0.927,-0.212,1.616,-0.20546391730676,-0.529783431390355
trial_log-200123-124616_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-124616,11,-1,PreTest__,0,0.648,0.938,0.055,1.448,0.774898794631383,0.428996503334964
trial_log-200123-141253_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-141253,11,1,PostTest_,0,0.611,0.936,-0.051,1.533,1.96076127800247,0.741238556600457
trial_log-200123-141400_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-141400,11,1,PostTest_,0,0.456,0.964,-0.165,2.114,1.09241808550005,1.18767656059
trial_log-200123-141506_task011_aud1_vis0_eps000_pp1_d1_test_SCT,1,1,200123-141506,11,1,PostTest_,0,0.541,0.818,0.155,1.512,1.21918683133719,-0.434959850942547
trial_log-200124-113403_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113403,11,2,Retention,0,0.54,0.954,-0.128,1.768,0.454372534837257,0.0896277617232437
trial_log-200124-113513_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113513,11,2,Retention,0,0.948,0.956,0.154,1.009,0.467597287843868,0.217925326719383
trial_log-200124-113632_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113632,11,2,Retention,0,0.606,0.952,0.263,1.57,1.89727243089697,0.471606270052658
trial_log-200124-113739_task011_aud1_vis0_eps000_pp1_d2_test_SCT,1,2,200124-113739,11,2,Retention,0,0.565,0.928,0.159,1.642,0.549544122423333,0.742819291993953
