"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","te12rescaled_PreTest","te12rescaled_PostTest","te12rescaled_Retention","te21rescaled_PreTest","te21rescaled_PostTest","te21rescaled_Retention"
"1","Chaotic","Chaotic Interactive",0.4352,0.664666666666667,0.4712,0.5144,0.637,0.5632,1.1908,0.960666666666667,1.1986,4.64807097073961,2.7147243882333,3.15709349447087,0.906911106710215,2.7354641437056,1.61418486055664
"1","Chaotic Visual","Chaotic Interactive",1.6446,1.40933333333333,1.476,0.5976,0.591666666666667,0.6378,0.3668,0.427333333333333,0.433,4.44637990519242,3.52826745743025,4.37356202164523,1.83186032512637,2.72227781742851,2.88908644114285
"1","Periodic Fadeout (SCT)","Chaotic Interactive",0.6042,0.598333333333333,0.6454,0.9592,0.952333333333333,0.9478,1.5912,1.60766666666667,1.518,-0.186186474290513,-0.209540462859679,0.0497286478291107,-0.161178214628864,-1.34881725498879,0.113315725641609
"1","Periodic Fixed","Chaotic Interactive",0.5436,0.536,0.6374,0.852,0.906,0.9474,1.7218,1.71966666666667,1.5562,0.189553614107261,1.42412206494657,0.922758364597726,-0.274812888094589,0.497985088749303,0.718743721482524
"4","Chaotic","Chaotic Interactive",0.3134,0.431,0.2914,0.511,0.564,0.5128,1.6362,1.31266666666667,1.7652,5.44131118112393,5.19325191278938,4.11856982275221,1.37537553499956,0.582426620852888,0.441749781641007
"4","Chaotic Visual","Chaotic Interactive",1.7835,1.737,1.6114,0.6035,0.578666666666667,0.5724,0.33925,0.332666666666667,0.3558,6.57164979842904,5.98146833135199,5.63519926341336,1.37506388639329,1.7381628765491,0.890577966639443
"4","Periodic Fadeout (SCT)","Chaotic Interactive",0.3978,0.560333333333333,0.708,0.937,0.939333333333333,0.946,2.3724,1.735,1.3692,0.900410135860618,-0.105144034027217,0.529091461461803,-0.242838971944222,1.06328098322905,0.999552357491865
"4","Periodic Fixed","Chaotic Interactive",0.5578,0.490666666666667,0.634,0.9396,0.924333333333333,0.9478,1.7394,1.88633333333333,1.5456,1.21261765276013,0.815266442801291,1.22747996913222,1.20352765154033,-1.36247666258317,-0.0236104080401386
"5","Chaotic","Chaotic Non-interactive",0.2594,0.269666666666667,0.3354,0.4396,0.457,0.477,1.7,1.72233333333333,1.4264,3.02857437255176,3.22986459012011,2.71141690702485,0.457145546103916,1.0195002622415,-0.00465697403131861
"5","Chaotic Visual","Chaotic Non-interactive",1.523,1.57833333333333,1.566,0.6276,0.578,0.5664,0.4138,0.368333333333333,0.3634,4.59595204906534,5.35118296296055,6.29011727062885,1.66011349815761,1.27583000505558,1.28937741797377
