"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","TE S-U Delta% PostTest","TE S-U Delta% Retention","TE U-S Delta% PostTest","TE U-S Delta% Retention"
"1","Chaotic","Chaotic Interactive",23.8335925349922,9.48678071539659,-19.3259433434106,0.655021834061138,52.7267156862745,8.27205882352942,-41.5946011727671,-32.0773388714306,201.624285276248,77.9871090576926
"1","Chaotic Visual","Chaotic Interactive",-0.99286033020973,6.72690763052209,16.5030897855325,18.0479825517993,-14.3054035429081,-10.251732944181,-20.6485380767848,-1.63768920109946,48.6072808111458,57.7132492862709
"1","Periodic Fadeout (SCT)","Chaotic Interactive",-0.715874339727553,-1.18849040867389,1.03485838779956,-4.60030165912518,-0.970980911397977,6.81893412777226,12.5433325155113,-126.709055004456,736.848365701674,-170.304616478433
"1","Periodic Fixed","Chaotic Interactive",6.33802816901409,11.1971830985916,-0.123901343555193,-9.61784179347194,-1.39808682855039,17.2553348050037,651.303039856952,386.805998895685,-281.208782529115,-361.539306422607
"4","Chaotic","Chaotic Interactive",10.371819960861,0.352250489236795,-19.7734588273642,7.88412174550787,37.5239310784939,-7.01978302488833,-4.55881422836246,-24.3092393421709,-57.6532658876273,-67.8815152371351
"4","Chaotic Visual","Chaotic Interactive",-4.11488539077603,-5.15327257663629,-1.94055514615573,4.87840825350037,-2.60723296888141,-9.64956546117186,-8.98071998934171,-14.2498545074564,26.4059723878143,-35.2337025608768
"4","Periodic Fadeout (SCT)","Chaotic Interactive",0.249021700462465,0.960512273212369,-26.8673073680661,-42.2862923621649,40.8580526227585,77.9788838612368,-111.677349003487,-41.2388376818866,-537.854342207177,-511.611179823909
"4","Periodic Fixed","Chaotic Interactive",-1.62480488150986,0.872711792252021,8.44735732628109,-11.1417730251811,-12.0353770766105,13.6608103262818,-32.7680542217407,1.22563912361463,-213.206926391713,-101.961766978093
"5","Chaotic","Chaotic Non-interactive",3.95814376706097,8.50773430391265,1.31372549019608,-16.0941176470588,3.95785145206887,29.2983808789514,6.64636864765995,-10.4721702858395,123.014370571983,-101.018707077212
"5","Chaotic Visual","Chaotic Non-interactive",-7.90312300828555,-9.75143403441683,-10.9875946512003,-12.1797970033833,3.63318012694243,2.82337491792514,16.4325237912087,36.8621169994157,-23.148025332515,-22.3319719160936
"5","Periodic Fadeout (SCT)","Chaotic Non-interactive",4.7008547008547,7.83216783216784,31.6995768688293,-24.9471086036671,-21.1629125196438,43.2163436354112,-222.414226477459,-212.325018550485,-92.8905960819052,-102.726416776548
"5","Periodic Fixed","Chaotic Non-interactive",8.23107104098841,-7.78863010267968,-19.0711094564408,-19.2851824274013,39.15770609319,15.3225806451613,-717.4724980874,185.706648674434,2339.26133268038,359.161529718762
"6","Chaotic","Chaotic Interactive",4.8281861678991,6.48107872988257,-37.740468695348,-30.3157493084041,66.0671462829736,53.5971223021583,-79.3453681450751,-29.9799373756431,-334.399215191962,35.6670217506385
"6","Chaotic Visual","Chaotic Interactive",-8.19354102476322,14.3444026018487,-0.256526331673467,-9.41602535083749,-8.34209603925692,25.2966801862701,175.344330528294,239.247738082977,-126.625456345339,-127.433478872579
"6","Periodic Fadeout (SCT)","Chaotic Interactive",2.41985891597466,16.6889900884008,4.13865232332288,-17.0252502614672,-8.70910698496907,31.8965517241379,5.21060456629654,-60.6943320485776,-93.8165278041236,-84.5438792017385
"6","Periodic Fixed","Chaotic Interactive",-8.577357620475,-6.27161632464837,-33.455098934551,6.99543378995434,50.6489239362576,-13.504189255791,13331.7522900844,7798.19118647506,271.826020978302,-74.5613043880416
"7","Chaotic","Chaotic Non-interactive",8.4162520729685,5.63847429519073,11.5859449192783,16.1735700197239,-3.0920060331825,-8.44645550527904,13.4480438583477,47.5189579078011,69.7774688014022,33.162069881948
