pp,trial,condition,period,LyapsTutor,LyaplTutor,LyapsTrainee,LyaplTrainee
1.0000,1.0000,25.0000,1057.8201,1.7775,0.3796,0.9556,0.1699
1.0000,2.0000,25.0000,1002.6136,1.9240,0.4832,0.9512,0.2244
1.0000,3.0000,25.0000,1034.7866,2.0045,0.2985,0.9567,0.1300
1.0000,4.0000,25.0000,957.2298,1.9556,0.5045,0.9824,0.1449
1.0000,5.0000,25.0000,943.7480,1.7841,0.4481,0.7257,0.0837
1.0000,6.0000,25.0000,975.5367,1.8888,0.4621,0.8059,0.1163
1.0000,7.0000,25.0000,972.8978,1.7148,0.4887,0.6593,0.0766
1.0000,8.0000,25.0000,914.8674,2.0871,0.4561,0.7021,0.1208
1.0000,9.0000,25.0000,952.7107,1.9474,0.4588,0.6862,0.0787
1.0000,10.0000,25.0000,974.7077,1.8459,0.4379,0.7065,0.0954
1.0000,11.0000,25.0000,1046.9490,1.5985,0.4061,0.8135,0.0760
1.0000,12.0000,25.0000,982.4004,1.9704,0.4627,1.0444,0.1174
1.0000,13.0000,25.0000,956.1583,2.0179,0.4264,1.0359,0.1273
1.0000,14.0000,25.0000,988.7328,1.8526,0.4113,0.8464,0.1474
1.0000,15.0000,25.0000,1051.4586,1.9593,0.3702,0.6465,0.1092
1.0000,16.0000,25.0000,954.5474,1.7606,0.3716,0.7891,0.0345
1.0000,17.0000,25.0000,992.5665,1.8040,0.4873,0.7007,0.0997
1.0000,18.0000,25.0000,1004.6410,1.9991,0.3703,0.7520,0.0874
1.0000,19.0000,25.0000,1006.2117,1.6564,0.4562,0.7233,0.0833
1.0000,20.0000,25.0000,966.5120,1.9898,0.4302,0.7275,0.0763
1.0000,21.0000,25.0000,1007.4629,1.7331,0.2804,0.9296,0.0590
1.0000,22.0000,25.0000,1041.7647,1.9088,0.2905,0.9032,0.1120
1.0000,23.0000,25.0000,1067.0409,1.6333,0.3517,0.8044,0.1533
1.0000,24.0000,25.0000,1054.4478,1.8973,0.2582,0.8315,0.1727
1.0000,25.0000,25.0000,983.6243,1.8952,0.3360,0.9546,0.1507
1.0000,26.0000,25.0000,1007.7937,1.5808,0.1588,0.6155,0.1173
1.0000,27.0000,25.0000,1016.2135,1.6649,0.2410,0.7153,0.1507
1.0000,28.0000,25.0000,1001.5810,1.8567,0.2468,0.9590,0.1556
1.0000,29.0000,25.0000,1026.2385,1.8294,0.2744,0.8104,0.1672
1.0000,30.0000,25.0000,951.5916,1.8774,0.3327,0.8558,0.1828
1.0000,31.0000,25.0000,970.5519,1.9085,0.3463,0.9161,0.2045
1.0000,32.0000,25.0000,996.8877,1.9201,0.3297,0.8364,0.1409
1.0000,33.0000,25.0000,962.2319,1.9364,0.4608,0.7707,0.2391
1.0000,34.0000,25.0000,1025.3887,1.5686,0.3911,0.6597,0.2090
1.0000,35.0000,25.0000,918.3057,1.7344,0.4845,1.0763,0.2276
1.0000,36.0000,25.0000,956.4582,1.4919,0.3919,0.8376,0.1480
1.0000,37.0000,25.0000,921.0145,1.5916,0.4734,0.9768,0.1954
1.0000,38.0000,25.0000,1002.4069,1.9014,0.4789,0.8582,0.1395
1.0000,39.0000,25.0000,971.8950,1.8877,0.4704,0.8006,0.1372
1.0000,40.0000,25.0000,995.9229,1.9469,0.3926,0.9058,0.1655
4.0000,1.0000,25.0000,984.6838,2.2671,0.3201,1.1124,0.1402
4.0000,2.0000,25.0000,988.0464,2.2689,0.3459,0.9265,0.1180
4.0000,3.0000,25.0000,957.2272,2.3274,0.2543,1.0500,0.0853
4.0000,4.0000,25.0000,950.5808,2.3033,0.2965,1.0730,0.1058
4.0000,5.0000,25.0000,903.2806,2.2625,0.2688,1.0135,0.0487
4.0000,6.0000,25.0000,989.0883,2.1329,0.3303,0.8245,0.0657
4.0000,7.0000,25.0000,1002.3429,2.0154,0.4230,0.9140,0.0805
4.0000,8.0000,25.0000,1023.3764,1.8239,0.3963,0.7612,0.0993
4.0000,9.0000,25.0000,1022.5949,2.0621,0.3628,0.6638,0.0887
4.0000,10.0000,25.0000,1040.3800,1.6782,0.3816,0.7026,0.1017
4.0000,11.0000,25.0000,1038.3261,1.8068,0.3706,0.7457,0.0651
4.0000,12.0000,25.0000,957.6762,1.8227,0.4105,0.8461,0.0484
4.0000,13.0000,25.0000,1006.4813,1.9157,0.3075,0.7061,0.0923
4.0000,14.0000,25.0000,1005.0225,1.7496,0.3603,0.7851,0.0854
4.0000,15.0000,25.0000,1047.3184,1.7194,0.2649,0.6512,0.1003
4.0000,16.0000,25.0000,996.6950,2.0642,0.2821,0.8110,0.0891
4.0000,17.0000,25.0000,979.9412,2.0582,0.3682,0.8272,0.0613
4.0000,18.0000,25.0000,989.3489,1.9012,0.3757,0.8239,0.0827
4.0000,19.0000,25.0000,1011.4817,1.9156,0.3855,0.8670,0.1417
4.0000,20.0000,25.0000,1025.0043,1.7686,0.4199,0.8837,0.0724
4.0000,21.0000,25.0000,1018.8588,1.9781,0.3163,0.8609,0.1356
4.0000,22.0000,25.0000,1037.6063,1.7860,0.3593,0.9315,0.1266
4.0000,23.0000,25.0000,1038.8206,1.8621,0.3379,0.8543,0.0770
4.0000,24.0000,25.0000,982.3631,2.0589,0.2650,0.7299,0.0837
4.0000,25.0000,25.0000,1004.8880,1.9169,0.3069,0.8565,0.0487
4.0000,26.0000,25.0000,991.2436,1.9253,0.3970,0.7679,0.1277
4.0000,27.0000,25.0000,1046.0172,1.6242,0.4838,0.8313,0.1020
4.0000,28.0000,25.0000,1040.5792,1.8664,0.2017,0.7967,0.1254
4.0000,29.0000,25.0000,1024.5903,2.1648,0.2624,1.0297,0.0834
4.0000,30.0000,25.0000,969.2591,2.1155,0.3627,0.9656,0.0777
4.0000,31.0000,25.0000,1097.8477,1.8695,0.2158,0.8908,0.0868
4.0000,32.0000,25.0000,983.4900,1.8952,0.3725,0.9154,0.0901
4.0000,33.0000,25.0000,1044.6379,1.9526,0.2845,0.8636,0.1068
4.0000,34.0000,25.0000,1057.3166,1.8029,0.3182,0.9663,0.0863
4.0000,35.0000,25.0000,1009.2881,1.8414,0.2919,0.9020,0.0758
4.0000,36.0000,25.0000,996.8454,1.9389,0.3772,0.9330,0.1178
4.0000,37.0000,25.0000,1074.1245,2.0905,0.2878,0.7529,0.1162
4.0000,38.0000,25.0000,1098.3554,1.8511,0.2921,0.7982,0.0926
4.0000,39.0000,25.0000,1063.8742,1.8630,0.2885,0.8780,0.1370
4.0000,40.0000,25.0000,1027.1501,1.7931,0.3657,0.7714,0.1585
5.0000,1.0000,30.0000,725.4494,1.9590,0.6637,1.2198,0.1976
5.0000,2.0000,30.0000,722.3397,1.6925,0.6672,1.2711,0.1693
5.0000,3.0000,30.0000,732.1911,2.0380,0.5934,1.1782,0.1862
5.0000,4.0000,30.0000,716.6878,2.0663,0.6109,1.4390,0.2039
5.0000,5.0000,30.0000,720.6962,2.0844,0.6197,1.4716,0.1502
5.0000,6.0000,30.0000,728.9005,2.0021,0.6319,1.3203,0.1882
5.0000,7.0000,30.0000,731.4246,2.1398,0.5886,1.3137,0.2809
5.0000,8.0000,30.0000,722.1840,1.8682,0.5636,1.2069,0.1927
5.0000,9.0000,30.0000,722.9742,1.8610,0.6794,1.2964,0.2162
5.0000,10.0000,30.0000,720.3004,2.1797,0.5804,1.1538,0.1242
5.0000,11.0000,30.0000,719.4337,1.7498,0.7159,1.4378,0.2078
5.0000,12.0000,30.0000,728.7778,1.8959,0.6402,1.3894,0.1997
5.0000,13.0000,30.0000,724.8509,1.6950,0.6897,1.5131,0.0967
5.0000,14.0000,30.0000,719.6475,1.8040,0.7134,1.3645,0.1832
5.0000,15.0000,30.0000,721.4619,1.8154,0.6872,1.2691,0.1468
5.0000,16.0000,30.0000,709.2360,1.8255,0.7584,1.2218,0.1741
5.0000,17.0000,30.0000,719.3133,1.3894,0.6913,1.2491,0.2407
5.0000,18.0000,30.0000,721.5697,2.0182,0.6833,1.3064,0.2276
5.0000,19.0000,30.0000,729.1726,1.6821,0.6599,1.0308,0.2237
5.0000,20.0000,30.0000,717.9237,1.4426,0.7161,1.0231,0.2566
5.0000,21.0000,30.0000,723.5505,1.6271,0.7249,1.0675,0.1639
5.0000,22.0000,30.0000,724.7929,1.6205,0.6347,1.0215,0.2142
5.0000,23.0000,30.0000,723.2513,1.8288,0.6768,1.1056,0.2075
5.0000,24.0000,30.0000,721.8696,1.7912,0.7340,1.1684,0.1281
5.0000,25.0000,30.0000,728.7632,1.5746,0.6030,1.0124,0.2132
5.0000,26.0000,30.0000,718.4127,1.7270,0.6254,1.2302,0.1350
5.0000,27.0000,30.0000,728.6865,1.5657,0.6360,1.0524,0.1569
5.0000,28.0000,30.0000,716.9658,1.4726,0.6316,1.1020,0.1860
5.0000,29.0000,30.0000,716.8046,1.5755,0.7108,1.1432,0.1998
5.0000,30.0000,30.0000,721.7351,1.7306,0.6811,1.1060,0.1915
5.0000,31.0000,30.0000,722.9667,1.6737,0.7462,1.5153,0.2143
5.0000,32.0000,30.0000,723.7542,1.6323,0.6535,1.4254,0.1939
5.0000,33.0000,30.0000,726.8116,1.8801,0.6640,1.2167,0.2304
5.0000,34.0000,30.0000,719.6380,1.8380,0.6303,1.2103,0.2357
5.0000,35.0000,30.0000,723.2947,1.5378,0.7636,0.9914,0.1939
5.0000,36.0000,30.0000,724.4348,1.7400,0.6842,0.9832,0.2181
5.0000,37.0000,30.0000,712.5486,1.8060,0.7708,0.9642,0.1694
5.0000,38.0000,30.0000,716.8029,1.7694,0.6412,1.1829,0.1671
5.0000,39.0000,30.0000,715.6388,1.6605,0.6205,1.1674,0.2272
5.0000,40.0000,30.0000,711.8562,1.6355,0.5944,1.1284,0.2277
6.0000,1.0000,25.0000,974.8422,1.9567,0.3118,0.8844,0.0609
6.0000,2.0000,25.0000,968.2213,1.7204,0.3178,0.8964,0.0885
